label,no_unique_umid_14d,no_unique_ip2_14d,no_unique_ipisp_14d,id_new_umid_14d,id_new_ip2_14d,id_new_ipisp_14d,id_umid_same_seller_14d,id_ip2_same_seller_14d,avg_price_per_order_14d,std_price_per_order_14d,avg_discount_per_order_14d,std_discount_per_order_14d,avg_shpfee_per_order_14d,std_shpfee_per_order_14d,no_acct_umid_14d
0,1,5,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,2,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,2,2,0,0,0,0,0,97088.66666666667,56758.67384716533,969.6666666666666,1371.315750981111,10833.333333333334,2592.7248643506746,1
0,1,2,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,7,2,0,0,0,0,0,41100.0,0.0,27800.0,0.0,8000.0,0.0,1
0,4,5,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,2,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,3,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,3,4,2,0,1,0,0,0,190000.0,0.0,0.0,0.0,1500.0,0.0,1
0,3,2,2,0,0,0,0,0,32120.0,9730.0,52880.0,40270.0,6900.0,0.0,1
0,1,3,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,4,2,0,1,0,0,0,20495.0,995.0,17005.0,8495.0,14500.0,500.0,1
0,1,3,3,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,3,1,0,1,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,5,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,2,2,0,1,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,2,2,0,0,0,0,1,64213.333333333336,29699.029538952203,66320.0,55819.251159434236,4514.666666666667,3151.522947542805,1
0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,7,3,0,1,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,4,3,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,3,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,6,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,7,4,0,1,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,2,1,0,1,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,3,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,4,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,6,3,0,0,0,0,0,333416.0,141019.20799664137,388636.8,298818.58412247384,4250.0,3981.2058474788764,1
0,1,4,3,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,3,2,0,1,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,3,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,3,3,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,5,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,2,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,6,3,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,4,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,6,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,3,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,5,3,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,4,3,0,0,0,0,0,86015.66666666667,69464.30664417199,112317.66666666667,77525.71550280735,7333.333333333333,5734.8835113617515,1
0,1,1,1,0,1,1,0,0,\N,\N,\N,\N,\N,\N,1
0,1,4,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,3,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,2,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,4,1,0,1,1,0,0,45800.0,0.0,60450.0,0.0,6873.0,0.0,1
0,2,5,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,2,1,0,0,0,0,0,37250.0,0.0,7750.0,0.0,10000.0,0.0,1
0,2,3,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,1,1,0,0,0,0,1,61965.0,44035.66499630347,57435.0,53853.08525671177,1083.3333333333333,2422.4069756247723,1
0,1,2,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,3,3,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,4,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,3,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,3,2,0,0,0,0,0,42490.0,0.0,17510.0,0.0,5000.0,0.0,1
0,1,4,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,4,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,4,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,4,3,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,3,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,2,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,5,4,0,1,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,2,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,4,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,3,3,3,0,0,0,0,0,87542.5,60813.73657530016,82957.5,69614.81922873894,1250.0,433.0127018922193,1
0,2,6,3,0,0,0,0,0,9330.0,3175.604929248389,30670.0,12108.58373221245,9500.0,0.0,1
0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,1,1,1,0,0,0,0,18821.333333333332,10816.71550066018,17562.0,21377.13890013244,6216.666666666667,2168.588890909888,0
0,1,2,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,4,3,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,3,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,2,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,3,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,6,3,0,0,0,0,1,35604.444444444445,26641.98527433766,29395.555555555555,47009.595254848675,1123.7777777777778,2274.8359539280964,1
0,2,3,3,0,0,0,0,0,15000.0,0.0,20000.0,0.0,8000.0,0.0,1
0,2,2,2,0,0,0,0,0,52030.25,23888.826890148877,87969.75,10823.795553663236,9250.0,6057.0207197928585,1
0,1,4,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,3,3,2,0,0,0,0,0,149300.0,56538.30559894769,65366.666666666664,92442.42652712131,2083.3333333333335,2946.278254943948,1
0,1,3,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,2,2,0,0,0,0,0,63925.875,26706.429359039652,28282.875,36584.768454363286,1250.0,3307.189138830738,1
0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,2,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,6,3,1,0,0,0,0,105760.0,108576.93309354431,79040.0,119000.86722373076,10400.0,3184.3366656181315,0
0,1,4,3,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,1,1,0,0,0,0,0,43065.0,0.0,106935.0,0.0,65500.0,0.0,1
0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,2,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,5,3,0,1,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,5,2,0,0,0,0,0,272000.0,0.0,107000.0,0.0,0.0,0.0,1
0,3,5,4,0,0,0,0,0,324430.0,43430.0,91070.0,67070.0,6900.0,0.0,1
0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,0,3,2,1,1,0,0,0,30350.0,0.0,44650.0,0.0,8000.0,0.0,0
0,1,3,3,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,4,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,3,3,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,2,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,4,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,3,2,2,1,0,0,0,0,183170.0,0.0,190830.0,0.0,900.0,0.0,1
0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,3,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,4,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,2,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,3,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,5,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,2,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,4,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,6,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,3,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,2,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,2,2,2,0,0,0,0,0,49500.0,0.0,10500.0,0.0,3834.0,0.0,1
0,2,6,3,0,0,0,0,0,64211.857142857145,51482.783497921686,39088.142857142855,46340.87485587819,4303.571428571428,4506.987205824906,1
0,0,3,1,1,1,0,0,0,18537.0,0.0,9463.0,0.0,6900.0,0.0,0
0,1,3,2,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
0,1,1,1,0,0,0,0,0,\N,\N,\N,\N,\N,\N,1
